Vietnamese,English
tôi,I
không,Are not
là,To be
anh,Older brother
có,Have
ta,ta
của,belong to
đi,Go
đã,Satisfied
đó,there
sẽ,will
chúng,they
gì,What
một,one
được,Okay
và,and
cô,Miss
làm,do
phải,Right
rồi,Already
người,People
này,This
cho,give
em,me
đây,This
con,child
sao,Star
biết,know
ông,grandfather
nói,speak
nó,It
thể,can
với,with
cậu,uncle
thế,position
lại,again
ra,go out
vậy,So
để,to
nào,any
ấy,that
cái,female
đang,in progress
muốn,want
trong,in
mà,but
như,like
nhưng,But
khi,When
những,these
đến,arrive
đâu,where
chuyện,story
chỉ,only
cả,chief
về,about
thì,then
họ,Surname
giờ,hour
thôi,Stop
thấy,see
còn,still
cũng,also
vào,enter
các,the
bị,bag
nghĩ,think
đấy,there
ai,Who
thật,Real
hắn,him
nếu,If
mình,me
việc,job
nữa,again
rất,very
vì,because
cần,need
chứ,Yes
à,ah
điều,thing
sự,the
tới,next
xin,Ask for
thứ,rank
chưa,Not yet
nhà,home
lên,go up
đúng,correct
từ,from
mẹ,Mom
nghe,listen
hơn,than
mọi,all
bạn,Friend
tớ,me
nên,should
chết,die
mày,you
ơn,thank you
đầu,head
đừng,do not
tìm,find
tốt,Good
tin,believe
hãy,let's
quá,too
nhiều,much
trước,before
cảm,have a cold
bà,grandma
ý,idea
hay,nice
công,labour
nhất,best
tao,I
bố,dad
tất,socks
bao,bag
trên,above
tên,name
lỗi,error
tại,in
thành,wall
sau,after
cháu,grandchildren
ngày,day
khác,other
xem,see
theo,according to
chắc,sure
gặp,meet
bắt,catch
yêu,Love
cứ,keep
qua,via
vẫn,still
cùng,together
ngay,right
thích,prefer
cách,way
nhìn,look
sống,living
bọn,guys
lúc,at the time
giết,kill
mới,new
quan,mandarin
chào,Hello
đưa,give
lắm,very
gọi,call
hết,run out of
bảo,tell
hai,two
rằng,that
ăn,eat
giúp,help
hiểu,understand
lấy,take
ngài,sir
tự,on one's own
lần,time
chính,main
tay,hand
nhân,core
cuộc,call
bỏ,cancel
năm,year
mất,lost
hả,Huh
vụ,service
xe,car
ngươi,you
nhận,receive
cha,father
chúa,God
khỏi,out
nay,now
định,determined
tiền,money
thời,time
cơ,muscle
nhé,okay
do,due
trở,return
bé,little
mặt,face
đường,road
vâng,Yes
gái,girl
luôn,always
mấy,some
gia,family
nhau,each other
lời,word
nơi,place
chị,older sister
xuống,down
bây,you
thưa,sir
số,number
động,dynamic
đồ,thing
ngoài,outside
toàn,full
bất,real
sát,close
thực,real
từng,each
phòng,room
thằng,guy
kẻ,guys
hàng,row
bằng,equal
chẳng,no
chút,little
nhớ,miss
chú,uncle
nhiên,course
lý,reason
chỗ,place
học,learn
nhanh,fast
quay,turn
sĩ,doctor
cố,try
tuyệt,great
lẽ,perhaps
chiến,war
hỏi,ask
đại,grand
tiếp,next
tình,love
ơi,yeah
bên,beside
đồng,copper
vui,fun
ổn,fine
gian,time
tâm,heart
cứu,rescue
đề,topic
i,i
sinh,born
trả,pay
bộ,set
đều,even
máy,machine
vài,few